iter	Passed	Remaining
407	4967	9642
408	4978	9628
409	4990	9616
410	5002	9603
411	5013	9589
412	5024	9575
413	5036	9562
414	5047	9548
415	5059	9535
416	5070	9521
417	5083	9509
418	5095	9497
419	5106	9484
420	5118	9470
421	5129	9456
422	5141	9444
423	5153	9431
424	5166	9420
425	5178	9408
426	5199	9412
427	5211	9399
428	5222	9386
429	5235	9374
430	5246	9361
431	5258	9348
432	5270	9335
433	5282	9323
434	5295	9312
435	5307	9299
436	5319	9287
437	5332	9276
438	5344	9265
439	5356	9252
440	5368	9239
441	5380	9226
442	5400	9227
443	5411	9213
444	5423	9202
445	5435	9189
446	5448	9178
447	5459	9164
448	5471	9151
449	5483	9139
450	5495	9127
451	5507	9114
452	5519	9101
453	5531	9089
454	5544	9077
455	5555	9064
456	5567	9052
457	5579	9039
458	5591	9027
459	5603	9013
460	5615	9001
461	5627	8988
462	5638	8975
463	5650	8962
464	5661	8948
465	5673	8936
466	5685	8924
467	5697	8912
468	5709	8898
469	5721	8886
470	5732	8872
471	5744	8860
472	5757	8848
473	5769	8836
474	5782	8825
475	5793	8811
476	5804	8797
477	5816	8785
478	5828	8773
479	5840	8760
480	5851	8747
481	5864	8735
482	5875	8722
483	5888	8710
484	5899	8697
485	5911	8684
486	5923	8672
487	5935	8659
488	5946	8646
489	5958	8634
490	5971	8622
491	5983	8609
492	5995	8598
493	6007	8585
494	6019	8572
495	6031	8560
496	6043	8549
497	6055	8536
498	6068	8524
499	6079	8510
500	6090	8498
501	6102	8485
502	6114	8473
503	6126	8460
504	6139	8449
505	6151	8436
506	6163	8424
507	6175	8412
508	6187	8399
509	6199	8387
510	6210	8374
511	6223	8362
512	6236	8351
513	6248	8339
514	6259	8326
515	6272	8314
516	6283	8301
517	6295	8289
518	6307	8276
519	6320	8264
520	6331	8251
521	6342	8238
522	6354	8225
523	6366	8213
524	6378	8200
525	6389	8187
526	6401	8175
527	6414	8163
528	6426	8151
529	6437	8138
530	6448	8124
531	6459	8111
532	6471	8098
533	6483	8086
534	6495	8073
535	6506	8060
536	6518	8048
537	6530	8035
538	6541	8021
539	6553	8009
540	6565	7997
541	6576	7984
542	6588	7971
543	6599	7958
544	6611	7946
545	6623	7933
546	6635	7921
547	6647	7909
548	6659	7896
549	6671	7884
550	6684	7873
551	6695	7859
552	6707	7848
553	6719	7835
554	6731	7823
555	6743	7811
556	6756	7799
557	6767	7786
558	6780	7774
559	6791	7761
560	6803	7749
561	6816	7737
562	6828	7725
563	6840	7713
564	6851	7699
565	6863	7687
566	6875	7675
567	6887	7663
568	6899	7651
569	6912	7639
570	6923	7627
571	6935	7614
572	6948	7602
573	6959	7589
574	6970	7577
575	6991	7574
576	7003	7561
577	7015	7550
578	7027	7537
579	7039	7525
580	7051	7512
581	7063	7500
582	7075	7488
583	7088	7476
584	7100	7464
585	7113	7453
586	7125	7441
587	7137	7429
588	7149	7417
589	7162	7404
590	7173	7391
591	7185	7379
592	7197	7366
593	7209	7355
594	7221	7342
595	7233	7330
596	7245	7318
597	7256	7305
598	7268	7293
599	7279	7279
600	7292	7267
601	7304	7255
602	7316	7243
603	7329	7231
604	7341	7219
605	7352	7207
606	7364	7194
607	7376	7182
608	7388	7170
609	7400	7158
610	7413	7146
611	7425	7133
612	7436	7121
613	7447	7107
614	7459	7095
615	7471	7083
616	7483	7070
617	7494	7057
618	7506	7045
619	7518	7033
620	7530	7020
621	7541	7007
622	7553	6995
623	7565	6983
624	7577	6970
625	7588	6957
626	7600	6945
627	7612	6934
628	7624	6921
629	7636	6909
630	7648	6896
631	7659	6883
632	7671	6871
633	7683	6859
634	7694	6846
635	7706	6834
636	7717	6821
637	7730	6809
638	7741	6796
639	7753	6784
640	7766	6772
641	7777	6760
642	7789	6747
643	7800	6734
644	7813	6722
645	7824	6710
646	7836	6697
647	7848	6686
648	7861	6674
649	7872	6661
650	7884	6649
651	7895	6636
652	7907	6624
653	7920	6612
654	7931	6599
655	7943	6587
656	7955	6575
657	7967	6562
658	7979	6551
659	7991	6538
660	8003	6525
661	8015	6513
662	8026	6501
663	8038	6488
664	8050	6476
665	8062	6464
666	8074	6452
667	8086	6440
668	8098	6428
669	8110	6415
670	8122	6403
671	8134	6391
672	8145	6378
673	8157	6366
674	8169	6353
675	8181	6341
676	8192	6329
677	8204	6316
678	8215	6304
679	8228	6292
680	8241	6280
681	8252	6268
682	8264	6256
683	8277	6244
684	8289	6232
685	8301	6220
686	8314	6208
687	8325	6195
688	8338	6184
689	8350	6171
690	8362	6160
691	8374	6147
692	8385	6135
693	8398	6123
694	8409	6110
695	8421	6097
696	8432	6085
697	8444	6072
698	8456	6060
699	8468	6048
700	8479	6036
701	8492	6024
702	8504	6012
703	8516	6000
704	8528	5988
705	8541	5976
706	8552	5963
707	8564	5951
708	8576	5939
709	8587	5926
710	8599	5914
711	8611	5902
712	8623	5890
713	8634	5877
714	8645	5864
715	8658	5852
716	8669	5840
717	8681	5828
718	8693	5815
719	8704	5803
720	8716	5790
721	8728	5778
722	8740	5766
723	8751	5753
724	8763	5741
725	8774	5728
726	8786	5716
727	8798	5704
728	8811	5692
729	8822	5680
730	8834	5668
731	8846	5656
732	8858	5643
733	8870	5631
734	8882	5619
735	8894	5607
736	8906	5595
737	8918	5583
738	8930	5571
739	8942	5558
740	8954	5546
741	8966	5534
742	8978	5522
743	8989	5509
744	9001	5497
745	9012	5485
746	9025	5473
747	9037	5461
748	9050	5449
749	9062	5437
750	9075	5425
751	9087	5413
752	9099	5401
753	9111	5389
754	9123	5377
755	9134	5364
756	9146	5352
757	9158	5340
758	9169	5327
759	9181	5315
760	9194	5303
761	9206	5291
762	9218	5279
763	9230	5267
764	9242	5255
765	9255	5243
766	9266	5231
767	9279	5219
768	9290	5207
769	9302	5195
770	9314	5182
771	9327	5171
772	9338	5158
773	9350	5146
774	9361	5133
775	9373	5121
776	9385	5109
777	9397	5097
778	9409	5085
779	9421	5073
780	9432	5060
781	9444	5048
782	9456	5036
783	9467	5023
784	9480	5011
785	9491	4999
786	9503	4987
787	9515	4975
788	9528	4963
789	9539	4951
790	9551	4938
791	9562	4926
792	9574	4914
793	9586	4901
794	9598	4889
795	9610	4877
796	9621	4865
797	9634	4853
798	9645	4840
799	9657	4828
800	9668	4816
801	9680	4804
802	9692	4792
803	9704	4779
804	9716	4767
805	9728	4755
806	9740	4743
807	9751	4731
808	9764	4719
809	9776	4707
810	9788	4695
811	9801	4683
812	9812	4671
813	9825	4659
814	9837	4647
815	9848	4634
816	9860	4622
817	9872	4610
818	9884	4598
819	9896	4586
820	9907	4573
821	9920	4561
822	9932	4549
823	9943	4537
824	9955	4525
825	9966	4512
826	9979	4501
827	9990	4488
828	10002	4476
829	10014	4464
830	10027	4452
831	10039	4440
832	10051	4428
833	10064	4416
834	10076	4404
835	10087	4392
836	10099	4379
837	10111	4367
838	10122	4355
839	10135	4343
840	10146	4331
841	10158	4319
842	10170	4306
843	10182	4294
844	10194	4282
845	10206	4270
846	10218	4258
847	10231	4246
848	10243	4234
849	10255	4222
850	10267	4210
851	10280	4199
852	10292	4186
853	10304	4174
854	10317	4163
855	10329	4150
856	10340	4138
857	10352	4126
858	10364	4114
859	10375	4101
860	10387	4089
861	10398	4077
862	10411	4065
863	10423	4053
864	10435	4041
865	10447	4029
866	10459	4017
867	10472	4005
868	10483	3993
869	10495	3981
870	10507	3968
871	10518	3956
872	10529	3944
873	10541	3932
874	10554	3920
875	10566	3908
876	10578	3895
877	10590	3883
878	10602	3872
879	10614	3859
880	10627	3847
881	10638	3835
882	10650	3823
883	10662	3811
884	10675	3799
885	10686	3787
886	10698	3775
887	10710	3763
888	10723	3751
889	10734	3739
890	10746	3726
891	10758	3714
892	10770	3702
893	10783	3691
894	10796	3679
895	10808	3667
896	10820	3655
897	10833	3643
898	10845	3631
899	10857	3619
900	10869	3607
901	10881	3594
902	10893	3583
903	10905	3570
904	10916	3558
905	10928	3546
906	10939	3534
907	10951	3522
908	10963	3509
909	10975	3497
910	10986	3485
911	10999	3473
912	11010	3461
913	11023	3449
914	11035	3437
915	11047	3425
916	11059	3412
917	11071	3400
918	11083	3388
919	11095	3376
920	11107	3364
921	11119	3352
922	11131	3340
923	11142	3328
924	11154	3316
925	11165	3303
926	11177	3291
927	11188	3279
928	11199	3267
929	11211	3254
930	11223	3243
931	11236	3230
932	11247	3218
933	11260	3206
934	11273	3195
935	11291	3184
936	11303	3172
937	11315	3160
938	11327	3148
939	11339	3136
940	11351	3124
941	11363	3112
942	11375	3100
943	11386	3087
944	11398	3075
945	11411	3063
946	11423	3051
947	11434	3039
948	11446	3027
949	11458	3015
950	11470	3003
951	11482	2991
952	11494	2979
953	11506	2967
954	11518	2954
955	11530	2942
956	11541	2930
957	11552	2918
958	11565	2906
959	11577	2894
960	11588	2881
961	11600	2869
962	11611	2857
963	11623	2845
964	11635	2833
965	11647	2821
966	11658	2809
967	11670	2797
968	11682	2784
969	11694	2772
970	11706	2760
971	11718	2748
972	11730	2736
973	11742	2724
974	11753	2712
975	11765	2700
976	11777	2688
977	11789	2676
978	11801	2664
979	11813	2652
980	11825	2640
981	11838	2628
982	11850	2616
983	11862	2603
984	11874	2591
985	11886	2579
986	11898	2567
987	11910	2555
988	11923	2543
989	11935	2531
990	11946	2519
991	11957	2507
992	11969	2495
993	11981	2483
994	11993	2470
995	12004	2458
996	12016	2446
997	12028	2434
998	12040	2422
999	12052	2410
1000	12064	2398
1001	12076	2386
1002	12087	2374
1003	12099	2362
1004	12110	2349
1005	12121	2337
1006	12133	2325
1007	12146	2313
1008	12158	2301
1009	12170	2289
1010	12182	2277
1011	12194	2265
1012	12205	2253
1013	12217	2241
1014	12228	2228
1015	12240	2216
1016	12253	2204
1017	12265	2192
1018	12277	2180
1019	12289	2168
1020	12301	2156
1021	12313	2144
1022	12324	2132
1023	12335	2120
1024	12348	2108
1025	12360	2096
1026	12373	2084
1027	12385	2072
1028	12396	2060
1029	12408	2048
1030	12420	2035
1031	12432	2023
1032	12444	2011
1033	12455	1999
1034	12468	1987
1035	12479	1975
1036	12491	1963
1037	12503	1951
1038	12515	1939
1039	12528	1927
1040	12540	1915
1041	12552	1903
1042	12564	1891
1043	12576	1879
1044	12588	1867
1045	12600	1855
1046	12611	1842
1047	12622	1830
1048	12635	1818
1049	12647	1806
1050	12659	1794
1051	12671	1782
1052	12683	1770
1053	12695	1758
1054	12707	1746
1055	12719	1734
1056	12731	1722
1057	12742	1710
1058	12755	1698
1059	12767	1686
1060	12779	1674
1061	12791	1662
1062	12803	1650
1063	12814	1637
1064	12825	1625
1065	12838	1613
1066	12850	1601
1067	12862	1589
1068	12873	1577
1069	12885	1565
1070	12897	1553
1071	12909	1541
1072	12920	1529
1073	12932	1517
1074	12944	1505
1075	12956	1493
1076	12969	1481
1077	12981	1469
1078	12993	1457
1079	13004	1444
1080	13016	1432
1081	13028	1420
1082	13041	1408
1083	13053	1396
1084	13065	1384
1085	13077	1372
1086	13088	1360
1087	13099	1348
1088	13111	1336
1089	13123	1324
1090	13135	1312
1091	13146	1300
1092	13158	1288
1093	13171	1276
1094	13182	1264
1095	13194	1252
1096	13205	1239
1097	13217	1227
1098	13229	1215
1099	13240	1203
1100	13254	1191
1101	13266	1179
1102	13278	1167
1103	13290	1155
1104	13302	1143
1105	13314	1131
1106	13326	1119
1107	13337	1107
1108	13349	1095
1109	13361	1083
1110	13373	1071
1111	13385	1059
1112	13397	1047
1113	13409	1035
1114	13421	1023
1115	13434	1011
1116	13446	999
1117	13458	987
1118	13470	975
1119	13482	963
1120	13494	950
1121	13506	938
1122	13517	926
1123	13530	914
1124	13542	902
1125	13554	890
1126	13566	878
1127	13579	866
1128	13590	854
1129	13603	842
1130	13615	830
1131	13627	818
1132	13638	806
1133	13651	794
1134	13663	782
1135	13675	770
1136	13686	758
1137	13698	746
1138	13710	734
1139	13722	722
1140	13733	710
