iter	RMSE
0	0.2680613568
1	0.2563558563
2	0.2451167542
3	0.2345882847
4	0.2248038659
5	0.2150763026
6	0.2062213299
7	0.1980940189
8	0.1898276077
9	0.1821106835
10	0.1744123634
11	0.1671696363
12	0.161054521
13	0.1545120198
14	0.1481095125
15	0.1430541394
16	0.1375530614
17	0.1323987999
18	0.1272607151
19	0.1224967194
20	0.1178978588
21	0.1134306627
22	0.1093542582
23	0.1054700717
24	0.1017316421
25	0.09785360021
26	0.09426861292
27	0.09100421032
28	0.08775392791
29	0.08474207844
30	0.0824436467
31	0.08020942188
32	0.07751536105
33	0.07510177936
34	0.07272806448
35	0.07050242228
36	0.06819854014
37	0.06599836097
38	0.06397721485
39	0.06210225891
40	0.06029945536
41	0.05857572243
42	0.05690440209
43	0.05519810625
44	0.05366656645
45	0.05216412045
46	0.05074932953
47	0.04945771261
48	0.04814555881
49	0.04693729611
50	0.04582006324
51	0.04474407691
52	0.04363465645
53	0.04267013472
54	0.04167375131
55	0.04080986224
56	0.03992814516
57	0.0391247292
58	0.03833235813
59	0.037522954
60	0.03674823269
61	0.03605151388
62	0.03535775445
63	0.03472745673
64	0.03412663275
65	0.03345247611
66	0.03286445504
67	0.03229796558
68	0.03166427238
69	0.03112488843
70	0.03057987646
71	0.03002780886
72	0.02950973958
73	0.02901393449
74	0.02853598334
75	0.02804081012
76	0.02762565952
77	0.02713939377
78	0.02671032083
79	0.0263097754
80	0.02592512037
81	0.02556923899
82	0.02523705443
83	0.02490613786
84	0.02451479038
85	0.02418734502
86	0.0238558671
87	0.02356920442
88	0.02329470489
89	0.02299216373
90	0.02275750196
91	0.02250611132
92	0.0222079359
93	0.02196028211
94	0.02170230957
95	0.021496227
96	0.02129696123
97	0.0210901576
98	0.02091135023
99	0.02066795429
100	0.02046791127
101	0.02024409455
102	0.02010171886
103	0.01989898656
104	0.01974207651
105	0.01960218487
106	0.01938253576
107	0.01920202161
108	0.01902556518
109	0.01886761241
110	0.01872712582
111	0.01857859992
112	0.0184488044
113	0.01828142401
114	0.01810091683
115	0.01796272706
116	0.01779581572
117	0.01765784563
118	0.01749176307
119	0.01739571845
120	0.01725927584
121	0.01713031875
122	0.01705356196
123	0.01692212136
124	0.01682161249
125	0.01671899762
126	0.01660180943
127	0.01652024882
128	0.01643630248
129	0.01635751717
130	0.01624650177
131	0.01613036853
132	0.01600097695
133	0.01589140952
134	0.01581152895
135	0.01571528534
136	0.0156402403
137	0.01553841416
138	0.01545940247
139	0.0153655664
140	0.01529513903
141	0.01520668201
142	0.01513725351
143	0.01504552362
144	0.01494376511
145	0.01487940609
146	0.01477421009
147	0.01467608397
148	0.01460159857
149	0.01454193341
150	0.01446933925
151	0.01436599517
152	0.01427769714
153	0.01417280545
154	0.01411708224
155	0.01405322696
156	0.01395236732
157	0.01390468723
158	0.01383871055
159	0.01374577931
160	0.01369608906
161	0.01361742533
162	0.01357318929
163	0.01354326524
164	0.01349780775
165	0.01340815293
166	0.01336641046
167	0.01328324774
168	0.01320715676
169	0.01313673179
170	0.01306214971
171	0.01297953637
172	0.0129087006
173	0.01285020913
174	0.0128163487
175	0.01274895198
176	0.01267935237
177	0.01261616464
178	0.01256117632
179	0.01252419414
180	0.01246718138
181	0.01243583746
182	0.01236331001
183	0.01230956741
184	0.01226921715
185	0.01221323186
186	0.01217084381
187	0.01213758212
188	0.01208727686
189	0.0120354992
190	0.01198322356
191	0.01193806747
192	0.01187670724
193	0.0118421432
194	0.01178452486
195	0.01174109391
196	0.01170674559
197	0.0116539598
198	0.01161214931
199	0.01155026723
200	0.01151961299
201	0.0114818621
202	0.01142882415
203	0.01137163014
204	0.01133275869
205	0.01129600051
206	0.01124697983
207	0.01121717034
208	0.01119359348
209	0.01116544425
210	0.01111941236
211	0.01108930823
212	0.01105032426
213	0.0109978471
214	0.01096147812
215	0.01091906775
216	0.01088256407
217	0.01084714526
218	0.01081993308
219	0.01079784723
220	0.0107605966
221	0.01072216133
222	0.01068636538
223	0.01064442191
224	0.01059904136
225	0.01056756878
226	0.01054315475
227	0.0105120896
228	0.01046421369
229	0.01042207542
230	0.01037071851
231	0.01034020532
232	0.0103092895
233	0.01027431321
234	0.01024378289
235	0.01021773276
236	0.01017221748
237	0.01013134647
238	0.01010223011
239	0.01007464095
240	0.01003368731
241	0.01000424756
242	0.009968298009
243	0.009943172818
244	0.009914341815
245	0.009874297968
246	0.009842850827
247	0.009810333221
248	0.009761680957
249	0.009737538744
250	0.009705731086
251	0.00967612335
252	0.009646965628
253	0.009622891348
254	0.009587303237
255	0.009547830169
256	0.009517863701
257	0.009492483094
258	0.009456139158
259	0.009426498104
260	0.009389258098
261	0.009367100301
262	0.009331502762
263	0.009299387876
264	0.009263023408
265	0.009221553269
266	0.009201936366
267	0.009177944048
268	0.009146095227
269	0.009132415699
270	0.009096089984
271	0.009066258998
272	0.009041951039
273	0.009020887336
274	0.008988136278
275	0.008971203458
276	0.00895462339
277	0.008923948204
278	0.008880906764
279	0.008848456578
280	0.008829526441
281	0.008814429972
282	0.00878910615
283	0.008769227726
284	0.008731141039
285	0.008704146289
286	0.008669220177
287	0.008650609203
288	0.008621619644
289	0.008603806532
290	0.008571038311
291	0.008539933076
292	0.008509936052
293	0.00848377717
294	0.008470020146
295	0.008450856859
296	0.008424821004
297	0.008405383525
298	0.008377747718
299	0.008356725188
300	0.008326223016
301	0.008290887182
302	0.008266454161
303	0.008243461718
304	0.008212024352
305	0.008191721845
306	0.008179939284
307	0.008151438666
308	0.008127840806
309	0.008111229172
310	0.008091988957
311	0.008071352293
312	0.008042049543
313	0.008025858483
314	0.008013062344
315	0.007980589535
316	0.00795083273
317	0.007929052107
318	0.007896353672
319	0.007883726747
320	0.007866284113
321	0.007839057779
322	0.007813263696
323	0.007798830687
324	0.007774507921
325	0.00774776812
326	0.007724252085
327	0.007701852565
328	0.007691796761
329	0.007676748553
330	0.007664636173
331	0.007640986667
332	0.007625675783
333	0.007604564992
334	0.007589785959
335	0.00756479988
336	0.007551162218
337	0.007531582224
338	0.007510953008
339	0.007489444398
340	0.007473580583
341	0.007453885193
342	0.007443257184
343	0.007423150659
344	0.007406763386
345	0.007388512564
346	0.007366404637
347	0.007353008001
348	0.007330887503
349	0.007318284089
350	0.007301389756
351	0.007284784949
352	0.007267446566
353	0.007254871347
354	0.007238736652
355	0.007222788523
356	0.007206734443
357	0.007195969386
358	0.007184329319
359	0.007172276759
360	0.007157096069
361	0.007145717362
362	0.00712090431
363	0.00710971821
364	0.00708715739
365	0.00706978352
366	0.007051009777
367	0.00704185547
368	0.007024242752
369	0.007015334826
370	0.006992730601
371	0.006981058126
372	0.006966576892
373	0.006950132713
374	0.006929791817
375	0.006918241685
376	0.006900038599
377	0.006886140259
378	0.006867736961
379	0.006861113515
380	0.00684580301
381	0.006839435088
382	0.006829107012
383	0.006809430932
384	0.006793059586
385	0.006780016602
386	0.006772800642
387	0.006758344356
388	0.006741430656
389	0.006726453546
390	0.006711029998
391	0.006702349012
392	0.006689756792
393	0.00667582213
394	0.006663510287
395	0.006653418344
396	0.006636669182
397	0.006622072454
398	0.006606756154
399	0.006593073695
400	0.006574135679
401	0.006563824352
402	0.00655801713
403	0.006544278938
404	0.006530280155
405	0.006518311014
406	0.006505845977
407	0.006489617257
408	0.006474429352
409	0.006460136665
410	0.006452376387
411	0.006446761404
412	0.006441507381
413	0.006426737314
414	0.00641485896
415	0.006408093424
416	0.006402635177
417	0.006390089091
418	0.006384104878
419	0.006377210471
420	0.006367883826
421	0.006360683831
422	0.006355338025
423	0.006336325392
424	0.006320156882
425	0.006302959284
426	0.006293518868
427	0.006282410283
428	0.006270993102
429	0.006253643012
430	0.006242032035
431	0.006227831387
432	0.0062194584
433	0.006209295584
434	0.006196392697
435	0.006187453122
436	0.006171195729
437	0.006159747525
